非洲	Afrika
Sî Sû-lâ-vî-sî-sén	Westsulawesi
Vò-é	Reis
Mâ-lû-kú-sén	Maluku
Pet Mâ-lû-kú-sén	Nordmolukken
Pâ-pu-â-sén	Papua (Provinz)
Sî Pâ-pu-â-sén	Papua Barat
Dagestan Khiung-fò-koet	Dagestan
Sú-tû	Hauptstadt
Monzón	Monzón
Phù-thò-ngà-ngî	Portugiesische Sprache
Ngie̍t	Monat
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Machatschkala
Chechnya Khiung-fò-koet	Tschetschenien
Grozny	Grosny
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Inguschetien
Magas	Magas (Inguschetien)
Pet Ossetia–Alania Khiung-fò-koet	Nordossetien-Alanien
Kabardino-Balkaria Khiung-fò-koet	Kabardino-Balkarien
Tson-sa̍k	Diamant
Bill Gates	Bill Gates
Ngi̍t-ngî	Japanische Sprache
Pak-khô-chhiòn-sû	Enzyklopädie
頭頁	Wikipedia:Hauptseite
Karachay-Cherkessia Khiung-fò-koet	Karatschai-Tscherkessien
Saratov	Saratow
Saratov-chû	Oblast Saratow
Orenburg-chû	Oblast Orenburg
Mordovia Khiung-fò-koet	Mordwinien
Saransk	Saransk
Yâ-khiù	Baseball
Làm-khiù	Basketball
Kirov-chû	Oblast Kirow
Udmurtia Khiung-fò-koet	Udmurtien
Sî-pak-li-â	Sibirien
Mari El Khiung-fò-koet	Mari El
Yoshkar-Ola	Joschkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Oblast Swerdlowsk
Cape Town	Kapstadt
Chuvash Khiung-fò-koet	Tschuwaschien
Durban	Durban
Cheboksary	Tscheboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstan
Penza-chû	Oblast Pensa
Là-fî-ngì	Raffael
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Oblast Uljanowsk
Gung-gung-hi-tsaa	Omnibus
Kâ-thai-lò-nì-â	Katalonien
Bashkortostan Khiung-fò-koet	Baschkortostan
Chelyabinsk-chû	Oblast Tscheljabinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Valencianische Gemeinschaft
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Kastilien und León
Kurgan-chû	Oblast Kurgan
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Oblast Tjumen
